UniqueID,BottleNo,True Bottle ID,NumID,Location No,Distance from Dam,Lake ID (4 dig.),Sampling Type (B/S),NH4Results,NOxResults,PO4Results,TPResults,NH4 BDL,Nox BDL,PO4 BDL,TP BDL,Microcystin Concentration,Chla (ug/L),Pheo (Avg 24 and on),NPOC (AVG) mg/L? [TOC],TN (AVG) mg/L? [TOC],Secchi Depth (m),Lat,Long,Month,Day,Year,Exclude,Date,FLIR,TIMEHHMMSS,DATEMMDDYYYY,FILENAME,FAULTCODE,BAROMETERMMHG,CONDSCM,SPCONDSCM,TDSMGL,SALPSU,NLFCONDSCM,DEPTHM,VERTICALPOSITIONM,PRESSUREPSIA,ODOSAT,ODOMGL,ODOCB,GPSLATITUDE,GPSLONGITUDE,ALTITUDEM,ORPMV,PH,PHMV,CABLEPWRV,BATTERYV,TEMPC,TURBIDITYFNU,TSSMGL,SITE
10188,20230711-MISS-B8,20230711-MISS-B8,2108,8,5401,MISS,Boat,0.0142,3.386,-0.004,0.049,0.05,3.386,0.05,0.05,NO DATA,35.25,NO DATA,,,,40.694126,-85.906412,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10189,20230711-MISS-B9,20230711-MISS-B9,2109,9,4381,MISS,Boat,0.0312,3.459,-0.012,0.039,0.05,3.459,0.05,0.05,NO DATA,35.36,NO DATA,,,,40.703916,-85.928926,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10190,20230711-MISS-B10,20230711-MISS-B10,2110,10,2851,MISS,Boat,0.0143,3.464,-0.01,0.03975,0.05,3.464,0.05,0.05,NO DATA,36.89,NO DATA,,,,40.69421,-85.918417,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220,20230727-MISS-B1,20230727-MISS-B1,2101,1,5999,MISS,Boat,0.0385,4.544,0.26,0.026,0.05,4.544,0.26,0.05,0.329,14.51,NO DATA,,,,40.681922,-85.888621,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10221,20230727-MISS-B2,20230727-MISS-B2,2102,2,8861,MISS,Boat,0.0603,4.699,0.278,0.03,0.05,4.699,0.278,0.05,0.185,14.74,NO DATA,,,,40.676792,-85.876581,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10222,20230727-MISS-B3,20230727-MISS-B3,2103,3,9921,MISS,Boat,0.0587,5.504,0.342,0.0345,0.05,5.504,0.342,0.05,0.347,11.87,NO DATA,,,,40.67101,-85.869494,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10223,20230727-MISS-B4,20230727-MISS-B4,2104,4,10891,MISS,Boat,0.0614,5.051,0.199,0.0435,0.05,5.051,0.199,0.05,0.373,13.71,NO DATA,,,,40.663311,-85.865977,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10224,20230727-MISS-B5,20230727-MISS-B5,2105,5,12821,MISS,Boat,,,,0.076,0.05,0.05,0.05,0.05,0.406,17.22,NO DATA,,,,40.668644,-85.847111,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10225,20230727-MISS-B6,20230727-MISS-B6,2106,6,14351,MISS,Boat,0.0387,5.776,0.412,0.0515,0.05,5.776,0.412,0.05,0.266,17.6,NO DATA,,,,40.673974,-85.831632,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10232,20230727-MISS-B13,20230727-MISS-B6,2106,6,14351,MISS,Boat,0.0657,5.588,0.315,0.0515,0.05,5.588,0.315,0.05,0.251,13.38,NO DATA,,,,40.675079,-85.83543,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10226,20230727-MISS-B7,20230727-MISS-B7,2107,7,6411,MISS,Boat,0.0631,3.189,0.26,0.0355,0.05,3.189,0.26,0.05,0.495,26.05,NO DATA,,,,40.689686,-85.89539,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10227,20230727-MISS-B8,20230727-MISS-B8,2108,8,5401,MISS,Boat,0.0526,4.144,0.267,0.035,0.05,4.144,0.267,0.05,0.554,12.87,NO DATA,,,,40.693033,-85.907493,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10228,20230727-MISS-B9,20230727-MISS-B9,2109,9,4381,MISS,Boat,0.0426,3.934,0.369,0.026,0.05,3.934,0.369,0.05,0.179,11.85,NO DATA,,,,40.70479,-85.929542,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10229,20230727-MISS-B10,20230727-MISS-B10,2110,10,2851,MISS,Boat,0.0481,4.044,0.215,0.0285,0.05,4.044,0.215,0.05,0.512,14.85,NO DATA,,,,40.693753,-85.920211,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10230,20230727-MISS-B11,20230727-MISS-B11,2111,11,1731,MISS,Boat,0.0611,3.691,0.481,0.023,0.05,3.691,0.481,0.05,0.556,13.47,NO DATA,,,,40.713969,-85.93693,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10234,20230727-MISS-B15,20230727-MISS-B11,2111,11,1731,MISS,Boat,0.0543,3.175,0.248,0.0285,0.05,3.175,0.248,0.05,0.464,9.83,NO DATA,,,,40.70744,-85.940211,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10231,20230727-MISS-B12,20230727-MISS-B12,2112,12,661,MISS,Boat,0.0464,4.041,0.261,0.025,0.05,4.041,0.261,0.05,0.499,13.71,NO DATA,,,,40.71127,-85.953781,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10233,20230727-MISS-B14,20230727-MISS-B13,2113,13,13553,MISS,Boat,,6.6365,,0.061,0.05,6.6365,0.05,0.05,0.175,25.73,NO DATA,,,,40.673793,-85.841281,7,27,2023,FALSE,7/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
